Date,Close
30/07/2002 18.00.00,"2691,91"
31/07/2002 18.00.00,"2685,79"
01/08/2002 18.00.00,"2557,86"
02/08/2002 18.00.00,"2547,12"
05/08/2002 18.00.00,"2447,32"
06/08/2002 18.00.00,"2592,24"
07/08/2002 18.00.00,"2564,77"
08/08/2002 18.00.00,"2697,92"
09/08/2002 18.00.00,"2750,16"
12/08/2002 18.00.00,"2670,78"
13/08/2002 18.00.00,"2698,99"
14/08/2002 18.00.00,"2590,75"
15/08/2002 18.00.00,"2677,74"
16/08/2002 18.00.00,"2713,96"
19/08/2002 18.00.00,"2825,39"
20/08/2002 18.00.00,"2771,4"
21/08/2002 18.00.00,"2802,95"
22/08/2002 18.00.00,"2872,02"
23/08/2002 18.00.00,"2821,04"
26/08/2002 18.00.00,"2771,19"
27/08/2002 18.00.00,"2863,6"
28/08/2002 18.00.00,"2729,93"
29/08/2002 18.00.00,"2667,17"
30/08/2002 18.00.00,"2709,29"
02/09/2002 18.00.00,"2639,18"
03/09/2002 18.00.00,"2509,46"
04/09/2002 18.00.00,"2534,01"
05/09/2002 18.00.00,"2511,53"
06/09/2002 18.00.00,"2618,18"
09/09/2002 18.00.00,"2564,81"
10/09/2002 18.00.00,"2639,83"
11/09/2002 18.00.00,"2723,14"
12/09/2002 18.00.00,"2590,18"
13/09/2002 18.00.00,"2530,8"
16/09/2002 18.00.00,"2516,31"
17/09/2002 18.00.00,"2493,42"
18/09/2002 18.00.00,"2382,7"
19/09/2002 18.00.00,"2328,29"
20/09/2002 18.00.00,"2308,03"
23/09/2002 18.00.00,"2217,48"
24/09/2002 18.00.00,"2187,22"
25/09/2002 18.00.00,"2238,11"
26/09/2002 18.00.00,"2373,03"
27/09/2002 18.00.00,"2343,22"
30/09/2002 18.00.00,"2204,39"
